chr	coord	repli_NPC
chr19	26120000	-1.16392334302265
chr19	6040000	1.74322428022111
chr19	10880000	1.57594289098469
chr19	60360000	-0.592011998097103
chr19	33760000	-1.1668949723244
chr19	51440000	-0.971481144428256
chr19	56840000	1.37453854084016
chr19	24880000	0.432644665241242
chr19	17000000	-0.96391243594034
chr19	44440000	1.73064998785655
chr19	43280000	-0.31845028911318
chr19	55720000	1.24961141177584
chr19	16440000	-0.019531814248434
chr19	52760000	-0.875276601314544
chr19	39200000	-1.15240331490833
chr19	16240000	-0.111618330436093
chr19	46560000	1.54133168856303
chr19	44640000	1.62732858317239
chr19	46320000	1.1927342925753
chr19	15160000	-1.19491713387626
chr19	40840000	0.136308058031968
chr19	3720000	1.50030858176093
chr19	6000000	1.88826426437921
chr19	22640000	-0.349740569080626
chr19	56440000	0.805084327856698
chr19	32320000	-0.685640573501587
chr19	23840000	0.559582148279463
chr19	30720000	-1.07796928712299
chr19	13840000	-0.96659233172734
chr19	57160000	1.09759572574071
chr19	21880000	0.470496997237205
chr19	48480000	-1.68494428907123
chr19	3520000	1.1687114409038
chr19	19120000	-1.25227572236743
chr19	58760000	-0.271538004279135
chr19	36440000	-0.0415341338763633
chr19	39520000	-1.66832665602363
chr19	54720000	-0.963116844495128
chr19	26240000	-1.33844802379608
chr19	28000000	0.5247809946537
chr19	5400000	1.51756501197815
chr19	54480000	-1.75765999158223
chr19	30040000	0.432415860039847
chr19	16480000	-0.117836399003863
chr19	17880000	-1.57389855384827
chr19	4040000	1.71721570832387
chr19	42240000	1.8004857301712
chr19	14760000	-0.518628338972728
chr19	10920000	1.49663858754293
chr19	38840000	0.953508862427304
chr19	54200000	-0.322564710463797
chr19	50840000	-0.625915002822876
chr19	14040000	-0.667935505509375
chr19	32080000	-0.397792279720307
chr19	3640000	1.34292666117348
chr19	9720000	0.0149532854557037
chr19	53600000	1.59828664859135
chr19	39960000	-1.01533601681392
chr19	11400000	-1.08674999645779
chr19	43920000	1.70395713193074
chr19	21440000	-0.860855860369546
chr19	49720000	-0.997504702636183
chr19	47400000	1.12428285394396
chr19	8160000	-1.26742398738858
chr19	58200000	-0.108161999533573
chr19	43560000	1.3936014175415
chr19	26960000	-0.621777166922888
chr19	27880000	0.130888833353918
chr19	61080000	0.476774573326111
chr19	25080000	1.02135569708687
chr19	27760000	0.357321664690973
chr19	12920000	-1.19233858585357
chr19	10720000	1.75305713926043
chr19	54400000	-1.38933001245771
chr19	40040000	-0.495671341816585
chr19	18040000	-1.435075708798
chr19	59400000	0.202505426747457
chr19	58520000	-0.370316279785974
chr19	7560000	1.55298833052317
chr19	33120000	1.12377285957337
chr19	12400000	-0.69089335203171
chr19	22560000	-0.63247357095991
chr19	30800000	-1.29350998004278
chr19	7440000	2.09215855598449
chr19	60680000	-0.133930034935474
chr19	31160000	-0.700397431850433
chr19	32920000	1.58201714924404
chr19	6520000	1.53423142433167
chr19	47280000	1.3458342892783
chr19	8240000	-1.2245133717855
chr19	24760000	0.541289423193251
chr19	31600000	-1.42356285027094
chr19	17120000	-0.734922008855001
chr19	20280000	-1.34247499704362
chr19	13680000	-1.6315149962902
chr19	41200000	0.884841425078257
chr19	25400000	0.870431164900462
chr19	35120000	-1.16856857708521
chr19	8800000	1.8114857503346
chr19	20000000	-0.698442002137502
chr19	17040000	-1.20189998831069
chr19	37640000	1.04008001089096
chr19	60880000	0.966398666302363
chr19	9440000	-0.497350759804247
chr19	32360000	-0.386276721954346
chr19	51520000	-1.42240144525254
chr19	5560000	1.48676000038782
chr19	51560000	-1.71303752064705
chr19	54840000	-1.04718840973718
chr19	52200000	-1.24361429895671
chr19	8360000	-0.99317866563797
chr19	5640000	1.72543716430664
chr19	23400000	-0.258353997554097
chr19	53480000	1.67279430798121
chr19	3760000	1.75930999006544
chr19	5280000	1.7610583305359
chr19	11760000	-0.128453731536865
chr19	42480000	0.817385345697403
chr19	12960000	-1.28603804111482
chr19	21640000	0.00260568849210206
chr19	20800000	-1.26424198150636
chr19	59120000	0.11657628523452
chr19	60200000	-0.450373998710087
chr19	48040000	0.3080548537629
chr19	11960000	0.409644995416914
chr19	55680000	1.32185857636587
chr19	41280000	1.02324813604356
chr19	16600000	0.035762021044224
chr19	36360000	-0.183708427207809
chr19	40360000	0.383695001403492
chr19	6400000	1.66015166044235
chr19	34120000	-2.2145233551661
chr19	38200000	0.987244861466533
chr19	38400000	1.20142330725987
chr19	27480000	0.500130861997604
chr19	9320000	-0.29905998706818
chr19	16200000	0.214964284251134
chr19	44960000	1.52359143325261
chr19	16680000	0.119030367583036
chr19	56120000	0.918046712875366
chr19	52960000	0.665674286229271
chr19	29200000	1.29766854218073
chr19	14800000	-0.53014985152653
chr19	19960000	-0.582391405105592
chr19	49320000	-1.4469257252557
chr19	54120000	-0.066018299598779
chr19	60920000	0.887373995780946
chr19	39680000	-1.57885500788688
chr19	44040000	1.66153854983194
chr19	46120000	2.00666572366443
chr19	13120000	-0.672238993644714
chr19	57800000	0.0462883404522598
chr19	28240000	1.15756000791276
chr19	25280000	1.09584267934163
chr19	21760000	0.378698751330376
chr19	39280000	-1.5203733444214
chr19	58120000	-0.606328436306543
chr19	22720000	-0.219710163772108
chr19	4440000	1.70725427355084
chr19	53920000	1.28868997097016
chr19	39440000	-1.64303801059722
chr19	9240000	0.349341996014115
chr19	35520000	-1.80937571184976
chr19	19880000	-0.879047811031342
chr19	44080000	1.71238572256907
chr19	12560000	-1.00467016299567
chr19	3320000	0.117860101784269
chr19	20520000	-1.11847398281094
chr19	4240000	1.46208333969115
chr19	24560000	0.3578688253959
chr19	16120000	0.703997279916491
chr19	30600000	-0.5116406083107
chr19	28720000	1.11844835678737
chr19	45280000	1.52357500791548
chr19	53640000	1.39668667316438
chr19	55880000	0.680024283272881
chr19	53160000	1.46028285367149
chr19	37960000	1.09354284831456
chr19	17320000	-0.513456329703332
chr19	18480000	-0.913116335868835
chr19	43800000	1.74113144193376
chr19	9360000	-0.37435699999332
chr19	48120000	-0.377346711499349
chr19	12240000	-0.6436949968338
chr19	58240000	-0.215837717056274
chr19	20960000	-0.768934862954277
chr19	31240000	-1.23348000049592
chr19	15000000	-0.77054350078106
chr19	50320000	-0.133066341280937
chr19	18840000	-0.705452332894008
chr19	44120000	1.66297144549234
chr19	58280000	-0.362444430589676
chr19	9160000	1.30949800014498
chr19	43640000	1.55605571610587
chr19	25880000	-0.740943598747252
chr19	23560000	-0.00631622337580953
chr19	26560000	-0.825180854116169
chr19	16560000	-0.20373171355043
chr19	54560000	-1.732281429427
chr19	45840000	1.57061287334987
chr19	38080000	0.833426586219243
chr19	19000000	-1.14423855713435
chr19	51000000	-0.522037004431088
chr19	26760000	-0.146447858640126
chr19	16640000	0.214292426194464
chr19	54760000	-0.814285567828589
chr19	37000000	1.56697283472336
chr19	17200000	-0.798738002777098
chr19	40720000	0.523813277482987
chr19	36680000	1.21406598091126
chr19	50640000	0.0920590859438687
chr19	25200000	1.38223998887199
chr19	57280000	1.21904572418759
chr19	5240000	1.9387242623738
chr19	42200000	1.84198856353759
chr19	47080000	1.7564699848493
chr19	25320000	0.864870846271516
chr19	12000000	0.36500085251672
chr19	48280000	-1.2796871151243
chr19	32720000	1.2777371406555
chr19	18960000	-0.715041339397428
chr19	57680000	0.648018171389897
chr19	30360000	-0.304728857108526
chr19	49960000	-0.719863200187684
chr19	38520000	1.08926498889923
chr19	43440000	1.1897814444133
chr19	33240000	0.75369872365679
chr19	53440000	1.6873128754752
chr19	57240000	1.26483833789827
chr19	35040000	-0.755861001355308
chr19	9920000	1.78857001236506
chr19	14520000	-0.183193858180727
chr19	13760000	-1.45517335335413
chr19	33720000	-1.2646399736404
chr19	25240000	1.299488561494
chr19	5840000	1.83865143571581
chr19	55960000	0.927304284913201
chr19	27000000	-0.502068711178644
chr19	17440000	-0.912128848688944
chr19	42440000	0.937767003263746
chr19	28520000	0.710048854351044
chr19	48680000	-0.67978057691029
chr19	18000000	-1.53290335337322
chr19	20480000	-0.653104996681214
chr19	47960000	1.1338028567178
chr19	43200000	-0.657076724937986
chr19	5160000	1.62710286889759
chr19	4600000	1.44405715806144
chr19	48880000	-0.96331570829664
chr19	27200000	-0.453290573188236
chr19	41800000	1.6868714264461
chr19	35400000	-1.80327248573305
chr19	58400000	-0.149602835377058
chr19	12640000	-1.16330570834023
chr19	52160000	-1.32145714759827
chr19	44920000	1.65235572201866
chr19	5120000	1.55669140815736
chr19	45880000	1.54950572763171
chr19	36760000	1.24063284056527
chr19	42120000	1.55896714755467
chr19	19560000	-1.48580428532191
chr19	16720000	-0.356001496315003
chr19	13480000	-1.67137998342515
chr19	55440000	0.975986599922182
chr19	46040000	1.51125286306653
chr19	11120000	0.608670165141423
chr19	54360000	-1.24336143902369
chr19	41720000	1.24392572471074
chr19	37400000	1.59803569316864
chr19	59880000	-0.351821141583577
chr19	25000000	1.04711199658258
chr19	32280000	-0.870664145265307
chr19	39920000	-1.2640866438548
chr19	53320000	1.52195858955384
chr19	12080000	-0.0768101701978588
chr19	17280000	-0.528533569404057
chr19	54880000	-0.592897427933557
chr19	21120000	-0.168237169583638
chr19	13240000	-1.28963198661804
chr19	10440000	1.48964287553516
chr19	33400000	-0.498857165376345
chr19	52280000	-1.8622485739844
chr19	49840000	-0.99867016077041
chr19	58600000	-0.595041871070863
chr19	49080000	-0.671697003500801
chr19	8840000	2.0348857130323
chr19	46920000	1.66316713605607
chr19	35680000	-1.65452748537062
chr19	9120000	1.56601572036743
chr19	12320000	-1.03840164343517
chr19	42520000	0.64348656790597
chr19	31720000	-1.53576000531513
chr19	47760000	1.23574000597002
chr19	33640000	-1.3911066452662
chr19	11560000	-1.26173400878906
chr19	51880000	-1.01341511522022
chr19	23120000	0.184517999490102
chr19	6360000	1.7883642741612
chr19	18640000	-0.246222283158983
chr19	38280000	1.15377141748156
chr19	58480000	-0.245903998613359
chr19	37600000	0.950182710375104
chr19	46520000	1.46826142924173
